Date,Close
5/31/2016,106.66
6/1/2016,107.2
6/2/2016,108.12
6/3/2016,107.45
6/6/2016,108.13
6/7/2016,108.45
6/8/2016,107.43
6/9/2016,107.52
6/10/2016,106.44
6/13/2016,105.66
6/14/2016,106.22
6/15/2016,106.28
6/16/2016,106.49
6/17/2016,105.36
6/20/2016,107.35
6/21/2016,107.9
6/22/2016,106.45
6/23/2016,108.95
6/24/2016,105.33
6/27/2016,104.18
6/28/2016,105.99
6/29/2016,109.29
6/30/2016,111.61
7/1/2016,111.91
7/5/2016,112.74
7/6/2016,113.28
7/7/2016,114.25
7/8/2016,115.48
7/11/2016,115.63
7/12/2016,116.34
7/13/2016,115.92
7/14/2016,116.39
7/15/2016,114.98
7/18/2016,115.25
7/19/2016,114.78
7/20/2016,114.79
7/21/2016,113.19
7/22/2016,114.06
7/25/2016,113.95
7/26/2016,113.62
7/27/2016,112.54
7/28/2016,112.04
7/29/2016,110.99
8/1/2016,110.76
8/2/2016,109.22
8/3/2016,109.83
8/4/2016,109.9
8/5/2016,111.49
8/8/2016,112.02
8/9/2016,112.13
8/10/2016,112.86
8/11/2016,113.15
8/12/2016,112.09
8/15/2016,113.32
8/16/2016,112.47
8/17/2016,112.74
8/18/2016,112.54
8/19/2016,112.8
8/22/2016,112.54
8/23/2016,113.84
8/24/2016,109.85
8/25/2016,110
8/26/2016,110.32
8/29/2016,110.76
8/30/2016,111.15
8/31/2016,111.45
9/1/2016,112.34
9/2/2016,112.07
9/6/2016,111.37
9/7/2016,111.97
9/8/2016,110.96
9/9/2016,109.25
9/12/2016,109.54
9/13/2016,106.7
9/14/2016,108.11
9/15/2016,109.76
9/16/2016,109
9/19/2016,108.98
9/20/2016,108.97
9/21/2016,110.78
9/22/2016,110.76
9/23/2016,109.9
9/26/2016,108.98
9/27/2016,110.11
9/28/2016,110.18
9/29/2016,109.31
9/30/2016,110.01
10/3/2016,109.16
10/4/2016,109.37
10/5/2016,108.61
10/6/2016,108.84
10/7/2016,107.45
10/10/2016,108.15
10/11/2016,106.99
10/12/2016,107.53
10/13/2016,106.8
10/14/2016,106.99
10/17/2016,106.88
10/18/2016,107.15
10/19/2016,108.19
10/20/2016,107.9
10/21/2016,108.45
10/24/2016,109.63
10/25/2016,108.32
10/26/2016,107.82
10/27/2016,107.31
10/28/2016,108.17
10/31/2016,108.74
11/1/2016,107.39
11/2/2016,106.2
11/3/2016,105.6
11/4/2016,105.28
11/7/2016,107.9
11/8/2016,108.35
11/9/2016,109.36
11/10/2016,109.23
11/11/2016,111.38
11/14/2016,110.01
11/15/2016,110.9
11/16/2016,110.86
11/17/2016,113.8
11/18/2016,115.98
11/21/2016,115.67
11/22/2016,116.43
11/23/2016,115.82
11/25/2016,116.07
11/28/2016,115.71
11/29/2016,116.16
11/30/2016,113.68
12/1/2016,113.37
12/2/2016,113.26
12/5/2016,114.89
12/6/2016,114.53
12/7/2016,116.61
12/8/2016,117.67
12/9/2016,116.98
12/12/2016,116.03
12/13/2016,117.79
12/14/2016,117.67
12/15/2016,117.78
12/16/2016,117.31
12/19/2016,118.15
12/20/2016,118.39
12/21/2016,117.69
12/22/2016,116.91
12/23/2016,116.92
12/27/2016,116.9
12/28/2016,115.46
12/29/2016,114.92
12/30/2016,114.61
1/3/2017,114.75
1/4/2017,114.98
1/5/2017,115.69
1/6/2017,116.86
1/9/2017,116.51
1/10/2017,116.11
1/11/2017,116.38
1/12/2017,117.04
